name,description,nutrition
Biscuits/Cookies,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 447<!-- --> <span class=""jss67"">•</span>Carbs: 73g<!-- --> <span class=""jss67"">•</span>Fat: 16g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
wheat biscuits,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Brown  bread,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 254<!-- --> <span class=""jss67"">•</span>Carbs: 51g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Fruit Bread,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 416<!-- --> <span class=""jss67"">•</span>Carbs: 89g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Treat Burst,"<div class=""jss65"">Britania, <!-- -->60<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 527<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 27g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Digestive Oats,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 458<!-- --> <span class=""jss67"">•</span>Carbs: 67g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
biscuit cashew,"<div class=""jss65"">britania, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 504<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Slimz Milk,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 34<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Cake layerz,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 388<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Tiger Elaichi,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
50-50 Britania,"<div class=""jss65"">Shafina, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 496<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 26g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Chocolate Creams,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 70g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Good Day Cashew,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 504<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Pav,"<div class=""jss65"">Britania Pav, <!-- -->1<!-- --> <!-- -->pav</div>","<div class=""jss70"">Calories: 128<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
bread,"<div class=""jss65"">Britania bread, <!-- -->1<!-- --> <!-- -->slice</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Milk Biscuits,"<div class=""jss65"">Britania, <!-- -->40<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 202<!-- --> <span class=""jss67"">•</span>Carbs: 30g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Biscuits,"<div class=""jss65"">Britania bourbon, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 488<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Salted biscuit,"<div class=""jss65"">Britania, <!-- -->1<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 155<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
