name,description,nutrition
biscuits,"<div class=""jss65"">Patanjali, <!-- -->10<!-- --> <!-- -->unit</div>","<div class=""jss70"">Calories: 476<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 28g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Nariyal,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->Biscuits</div>","<div class=""jss70"">Calories: 485<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
ghrit,"<div class=""jss65"">patanjali, <!-- -->6<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 45<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Chhola Masala,"<div class=""jss65"">Patanjali, <!-- -->2<!-- --> <!-- -->Tbsp</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 13g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Buttermilk,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 28<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Barley Dalia,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 346<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
dairywhitener,"<div class=""jss65"">patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 456<!-- --> <span class=""jss67"">•</span>Carbs: 55g<!-- --> <span class=""jss67"">•</span>Fat: 18g<!-- --> <span class=""jss67"">•</span>Protein: 19g</div>"
Soyavita,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 491<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 25g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Besan,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 363<!-- --> <span class=""jss67"">•</span>Carbs: 63g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 23g</div>"
Quinoa,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 463<!-- --> <span class=""jss67"">•</span>Carbs: 60g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
