name,description,nutrition
Cookies,"<div class=""jss65"">Unibic Gooeys, <!-- -->1<!-- --> <!-- -->Cookie</div>","<div class=""jss70"">Calories: 85<!-- --> <span class=""jss67"">•</span>Carbs: 11g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
cookie,"<div class=""jss65"">unibic, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 505<!-- --> <span class=""jss67"">•</span>Carbs: 65g<!-- --> <span class=""jss67"">•</span>Fat: 25g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Wafers,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 522<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 27g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
unibic Fruit and Nut cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 510<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 24g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
UNIBIC Multigrain Choco snack bar,"<div class=""jss65"">UNIBIC, <!-- -->30<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 133<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
unibic chocolate cardamom protein bar,"<div class=""jss65"">unibic, <!-- -->1<!-- --> <!-- -->bar</div>","<div class=""jss70"">Calories: 277<!-- --> <span class=""jss67"">•</span>Carbs: 36g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 20g</div>"
Savoiardi Sponge Fingers,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->finger (21grams)</div>","<div class=""jss70"">Calories: 77<!-- --> <span class=""jss67"">•</span>Carbs: 16g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Choco Nut Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->grams</div>","<div class=""jss70"">Calories: 517<!-- --> <span class=""jss67"">•</span>Carbs: 62g<!-- --> <span class=""jss67"">•</span>Fat: 27g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Chocolate Chip Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 480<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
ginger babies,"<div class=""jss65"">unibic, <!-- -->25<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 90<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
