name,description,nutrition
Chocola,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 543<!-- --> <span class=""jss67"">•</span>Carbs: 58g<!-- --> <span class=""jss67"">•</span>Fat: 32g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Eclairs,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->toffee</div>","<div class=""jss70"">Calories: 18<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
lime jerky,"<div class=""jss65"">dukes, <!-- -->1<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 40<!-- --> <span class=""jss67"">•</span>Carbs: 2g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Minees,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 467<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Biscuitbo,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 494<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Mayonnaise: Dukes Regular,"<div class=""jss65"">Condiment, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Mayo,"<div class=""jss65"">Dukes Smooth &amp; Creamy, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Mayonnaise Light,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
beef brisquet,"<div class=""jss65"">dukes, <!-- -->1<!-- --> <!-- -->bag</div>","<div class=""jss70"">Calories: 60<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Dukes Light Mayonnaise,"<div class=""jss65"">Generic, <!-- -->1<!-- --> <!-- -->tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Low Fat Mayo,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->Tbsp</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
